,Lstm,Dense,Conv,train,test
0,8.0,3.0,0.0,0.18872041503588358,0.811256875594457
1,8.0,3.0,16.0,0.17503453294436136,0.4767058889071147
2,8.0,5.0,0.0,0.15252554416656494,0.3413908878962199
3,8.0,5.0,16.0,0.16858460009098053,0.3521197438240051
4,8.0,8.0,0.0,0.19552756349245706,0.5724402765432993
5,8.0,8.0,16.0,0.15859225392341614,0.3737678825855255
6,16.0,3.0,0.0,0.17200124263763428,0.3764448861281077
7,16.0,3.0,16.0,0.1753436028957367,0.4390332102775574
8,16.0,5.0,0.0,0.2028038501739502,0.39110122124354046
9,16.0,5.0,16.0,0.21716906130313873,0.551566481590271
10,16.0,8.0,0.0,0.17732431491216025,0.5728183488051096
11,16.0,8.0,16.0,0.21627655625343323,0.45519648989041644
12,32.0,3.0,0.0,0.27935372292995453,0.5307214756806692
13,32.0,3.0,16.0,0.23467805981636047,0.727126399676005
14,32.0,5.0,0.0,0.22970192631085715,0.5678713967402776
15,32.0,5.0,16.0,0.15724907318751016,0.528109073638916
16,32.0,8.0,0.0,0.24875821669896445,1.1810672183831532
17,32.0,8.0,16.0,0.1796580453713735,0.4337235391139984
18,64.0,3.0,0.0,0.2753641257683436,0.8151954015096029
19,64.0,3.0,16.0,0.1984297956029574,1.1110604504744213
20,64.0,5.0,0.0,0.358434999982516,0.9364175995190939
21,64.0,5.0,16.0,0.25003356238206226,0.5261306365331014
22,64.0,8.0,0.0,0.22855603198210397,0.7395007510979971
23,64.0,8.0,16.0,0.17973876496156058,0.4806985954443614
